   DEPT        CTEM       DCAL        DT      GR_EDTC      GTEM       ITT        RWA        SPHI       STIT       TENS
   1980.0000   147.7648     0.6209    55.7346    61.8170    96.2964     0.8494    -0.0031    -0.0030     0.0000  1101.0000
   1980.5000   147.7648     0.6209    56.8646    56.6180    96.3035     0.8494    -0.0902     0.0095     0.0000  1157.0000
   1981.0000   147.7648     0.6268    57.4896    55.5238    96.3107     0.8494    -0.2621     0.0162     0.0000  1181.0000
   1981.5000   147.7648     0.6278   135.2288    54.5345    96.3178     0.8493  -133.9868     0.3662     0.0000  1197.0000
   1982.0000   147.7648     0.6328    59.3869    56.5752    96.3250     0.8493    -1.2696     0.0356     0.0000  1201.0000
   1982.5000   147.7648     0.6398    61.3669    52.4264    96.3321     0.8492    -2.9855     0.0547     0.0000  1202.0000
   1983.0000   147.7648     0.6465    61.9081    55.5458    96.3392     0.8492    -3.5550     0.0596     0.0000  1213.0000
   1983.5000   147.7648     0.6524    64.4274    55.5847    96.3464     0.8492    -6.6785     0.0818     0.0000  1202.0000
   1984.0000   147.7648     0.6457   135.9442    53.5492    96.3535     0.8491  -134.9854     0.3675     0.0000  1195.0000
   1984.5000   147.7648     0.6523   136.1545    48.7822    96.3607     0.8491  -135.2776     0.3679     0.0000  1200.0000
   1985.0000   147.7648     0.6583   136.8021    48.7822    96.3678     0.8490  -136.1739     0.3692     0.0000  1200.0000
   1985.5000   147.7648     0.6711    63.1998    55.5408    96.3750     0.8489    -5.0658     0.0712     0.0000  1189.0000
   1986.0000   147.7648     0.6583    60.7841    53.9889    96.3821     0.8489    -2.4180     0.0492     0.0000  1205.0000
   1986.5000   147.7648     0.6959    95.9117    54.5088    96.3893     0.8489   -67.5914     0.2601     0.0000  1208.0000
   1987.0000   147.7648     0.6779    96.4062    47.7501    96.3964     0.8488   -68.5679     0.2620     0.0000  1200.0000
   1987.5000   147.7648     0.6379    93.2533    49.3459    96.4036     0.8488   -62.2925     0.2497     0.0000  1187.0000
   1988.0000   147.7648     0.5422    65.7192    42.0674    96.4107     0.8487    -8.5370     0.0924     0.0000  1203.0000
   1988.5000   147.7648     0.6202    61.6726    35.8286    96.4178     0.8487    -3.3023     0.0575     0.0000  1200.0000
   1989.0000   147.7648     0.6583    58.2555    41.0146    96.4250     0.8487    -0.5851     0.0242     0.0000  1176.0000
   1989.5000   147.7648     0.6514    57.0815    51.4126    96.4321     0.8486    -0.1401     0.0118     0.0000  1192.0000
   1990.0000   147.7648     0.6514    52.4038    61.7612    96.4393     0.8486    -0.0031    -0.0429     0.0000  1195.0000
   1990.5000   147.7648     0.6456    54.7193    58.6989    96.4464     0.8486    -0.0031    -0.0146     0.0000  1171.0000
   1991.0000   147.7648     0.6456    54.1254    58.1323    96.4536     0.8486    -0.0031    -0.0216     0.0000  1189.0000
   1991.5000   147.7648     0.6464    53.7827    61.3010    96.4607     0.8485    -0.0031    -0.0258     0.0000  1208.0000
   1992.0000   147.7648     0.6525    52.7356    64.4204    96.4679     0.8485    -0.0031    -0.0387     0.0000  1174.0000
   1992.5000   147.7648     0.6456    61.0841    64.9390    96.4750     0.8485    -2.7040     0.0520     0.0000  1187.0000
   1993.0000   147.7648     0.6395    53.9832    68.5121    96.4822     0.8484    -0.0031    -0.0233     0.0000  1210.0000
   1993.5000   147.7648     0.6397    53.8944    64.3529    96.4893     0.8484    -0.0031    -0.0244     0.0000  1189.0000
   1994.0000   147.7648     0.6397    54.1714    67.0004    96.4964     0.8484    -0.0031    -0.0211     0.0000  1195.0000
   1994.5000   147.7648     0.6456    54.2273    57.6230    96.5036     0.8484    -0.0031    -0.0204     0.0000  1187.0000
   1995.0000   147.7648     0.6525    54.2417    57.1031    96.5107     0.8483    -0.0031    -0.0203     0.0000  1205.0000
   1995.5000   147.7648     0.6585    54.0642    56.5832    96.5179     0.8483    -0.0031    -0.0224     0.0000  1195.0000
   1996.0000   147.7648     0.6456    54.1469    59.2188    96.5250     0.8483    -0.0031    -0.0214     0.0000  1181.0000
   1996.5000   147.7648     0.6456    53.8936    57.6591    96.5322     0.8483    -0.0031    -0.0244     0.0000  1196.0000
   1997.0000   147.7648     0.6456    53.8557    55.0129    96.5393     0.8482    -0.0031    -0.0249     0.0000  1196.0000
   1997.5000   147.7648     0.6456    53.7394    57.6617    96.5465     0.8482    -0.0031    -0.0263     0.0000  1187.0000
   1998.0000   147.7648     0.6592    53.6218    57.6617    96.5536     0.8482    -0.0031    -0.0277     0.0000  1206.0000
   1998.5000   147.7648     0.6525    53.5928    56.6245    96.5608     0.8481    -0.0031    -0.0281     0.0000  1202.0000
   1999.0000   147.7648     0.6592    53.6561    53.9757    96.5679     0.8481    -0.0031    -0.0273     0.0000  1205.0000
   1999.5000   147.7648     0.6592    53.6620    55.1514    96.5751     0.8481    -0.0031    -0.0272     0.0000  1201.0000
   2000.0000   147.7648     0.6592    53.5727    55.0050    96.5822     0.8481    -0.0031    -0.0283     0.0000  1190.0000
   2000.5000   147.7648     0.6592    53.6034    57.0252    96.5893     0.8480    -0.0031    -0.0279     0.0000  1202.0000
   2001.0000   147.7648     0.6592    53.6021    61.0485    96.5965     0.8480    -0.0031    -0.0280     0.0000  1210.0000
