DEPT,DT
2042.5,23.52922886872952
2043.0,23.311346376527524
2043.5,20.93356388432551
2044.0,18.65528139212347
2044.5,16.777798899921436
2045.0,16.943216407719405
2045.5,15.565833915517402
2046.0,14.713051423315363
2046.5,14.76196893111333
2047.0,12.759886438911309
2047.5,12.429203946709322
2048.0,15.570221454507305
2048.5,18.962338962305267
2049.0,21.706256470103227
2049.5,25.118173977901222
2050.0,26.504591485699194
2050.5,27.072108993497153
2051.0,27.296926501295133
2051.5,27.115744009093106
2052.0,24.74626151689111
2052.5,24.25677902468908
2053.0,24.51359653248707
2053.5,25.743414040285046
2054.0,27.348031548083014
2054.5,27.184749055880985
2055.0,24.950066563678945
2055.5,22.45558407147692
2056.0,22.35310157927489
2056.5,21.96631908707289
2057.0,22.538636594870837
2057.5,22.90855410266886
2058.0,21.424571610466813
2058.5,23.74258911826479
2059.0,25.28740662606276
2059.5,29.563424133860735
2060.0,30.946641641658715
2060.5,29.060959149456693
2061.0,27.448476657254673
2061.5,25.92839416505265
2062.0,25.24741167285066
2062.5,26.15622918064861
2063.0,27.62224668844661
2063.5,27.589464196244563
2064.0,28.72518170404254
2064.5,28.69689921184053
2065.0,28.63821671963848
2065.5,29.75663422743648
2066.0,30.276151735234436
2066.5,29.362869243032435
2067.0,29.27928675083041
2067.5,29.2802042586284
2068.0,28.671821766426376
2068.5,29.078439274224337
2069.0,29.371056782022322
2069.5,28.398174289820275
2070.0,28.409191797618263
2070.5,28.185809305416228
2071.0,28.230726813214204
2071.5,28.000444321012168
2072.0,27.901661828810177
2072.5,27.140079336608153
2073.0,26.010196844406124
2073.5,26.224214352204115
2074.0,25.82223186000209
2074.5,26.849049367800063
2075.0,27.03296687559802
2075.5,27.162984383396008
2076.0,27.589401891193972
2076.5,26.949019398991965
2077.0,25.39863690678996
2077.5,24.40115441458792
2078.0,23.37567192238589
2078.5,23.710589430183887
2079.0,25.665006937981843
2079.5,26.55982444577981
2080.0,28.06294195357779
